,country,Country_key,year,sex,age,population,suicides/100k pop,gdp_per_capita ($),generation,Happiness_Score
0,Albania, ALB,1987,male,15-24 years,312900,6.71,796,Generation X,4.64400005340576
1,Albania, ALB,1987,male,35-54 years,308000,5.19,796,Silent,4.64400005340576
2,Albania, ALB,1987,female,15-24 years,289700,4.83,796,Generation X,4.64400005340576
3,Albania, ALB,1987,male,75+ years,21800,4.59,796,G.I. Generation,4.64400005340576
4,Albania, ALB,1987,male,25-34 years,274300,3.28,796,Boomers,4.64400005340576
5,Albania, ALB,1987,female,75+ years,35600,2.81,796,G.I. Generation,4.64400005340576
6,Albania, ALB,1987,female,35-54 years,278800,2.15,796,Silent,4.64400005340576
7,Albania, ALB,1987,female,25-34 years,257200,1.56,796,Boomers,4.64400005340576
8,Albania, ALB,1987,male,55-74 years,137500,0.73,796,G.I. Generation,4.64400005340576
9,Albania, ALB,1987,female,5-14 years,311000,0.0,796,Generation X,4.64400005340576
10,Albania, ALB,1987,female,55-74 years,144600,0.0,796,G.I. Generation,4.64400005340576
11,Albania, ALB,1987,male,5-14 years,338200,0.0,796,Generation X,4.64400005340576
12,Albania, ALB,1988,female,75+ years,36400,5.49,769,G.I. Generation,4.64400005340576
13,Albania, ALB,1988,male,15-24 years,319200,5.33,769,Generation X,4.64400005340576
14,Albania, ALB,1988,male,75+ years,22300,4.48,769,G.I. Generation,4.64400005340576
15,Albania, ALB,1988,male,35-54 years,314100,4.46,769,Silent,4.64400005340576
16,Albania, ALB,1988,male,55-74 years,140200,2.85,769,G.I. Generation,4.64400005340576
17,Albania, ALB,1988,female,15-24 years,295600,2.71,769,Generation X,4.64400005340576
18,Albania, ALB,1988,female,55-74 years,147500,2.03,769,G.I. Generation,4.64400005340576
19,Albania, ALB,1988,female,25-34 years,262400,1.91,769,Boomers,4.64400005340576
20,Albania, ALB,1988,male,25-34 years,279900,1.79,769,Boomers,4.64400005340576
21,Albania, ALB,1988,female,35-54 years,284500,1.41,769,Silent,4.64400005340576
22,Albania, ALB,1988,female,5-14 years,317200,0.0,769,Generation X,4.64400005340576
23,Albania, ALB,1988,male,5-14 years,345000,0.0,769,Generation X,4.64400005340576
24,Albania, ALB,1989,male,75+ years,22500,8.89,833,G.I. Generation,4.64400005340576
25,Albania, ALB,1989,male,25-34 years,283600,6.35,833,Boomers,4.64400005340576
26,Albania, ALB,1989,male,35-54 years,318400,4.71,833,Silent,4.64400005340576
27,Albania, ALB,1989,male,55-74 years,142100,4.22,833,G.I. Generation,4.64400005340576
28,Albania, ALB,1989,male,15-24 years,323500,3.71,833,Generation X,4.64400005340576
29,Albania, ALB,1989,female,35-54 years,288600,2.43,833,Silent,4.64400005340576
30,Albania, ALB,1989,female,15-24 years,299900,1.67,833,Generation X,4.64400005340576
31,Albania, ALB,1989,female,25-34 years,266300,0.75,833,Boomers,4.64400005340576
32,Albania, ALB,1989,female,55-74 years,149600,0.67,833,G.I. Generation,4.64400005340576
33,Albania, ALB,1989,female,5-14 years,321900,0.0,833,Generation X,4.64400005340576
34,Albania, ALB,1989,female,75+ years,37000,0.0,833,G.I. Generation,4.64400005340576
35,Albania, ALB,1989,male,5-14 years,349700,0.0,833,Generation X,4.64400005340576
36,Albania, ALB,1992,male,35-54 years,343800,3.49,251,Boomers,4.64400005340576
37,Albania, ALB,1992,male,15-24 years,263700,3.41,251,Generation X,4.64400005340576
38,Albania, ALB,1992,male,55-74 years,159500,3.13,251,Silent,4.64400005340576
39,Albania, ALB,1992,male,25-34 years,245500,2.85,251,Boomers,4.64400005340576
40,Albania, ALB,1992,female,15-24 years,292400,2.39,251,Generation X,4.64400005340576
41,Albania, ALB,1992,female,25-34 years,267400,1.5,251,Boomers,4.64400005340576
42,Albania, ALB,1992,female,35-54 years,323100,0.62,251,Boomers,4.64400005340576
43,Albania, ALB,1992,female,55-74 years,164900,0.61,251,Silent,4.64400005340576
44,Albania, ALB,1992,female,5-14 years,336700,0.0,251,Millenials,4.64400005340576
45,Albania, ALB,1992,female,75+ years,38700,0.0,251,G.I. Generation,4.64400005340576
46,Albania, ALB,1992,male,5-14 years,362900,0.0,251,Millenials,4.64400005340576
47,Albania, ALB,1992,male,75+ years,23900,0.0,251,G.I. Generation,4.64400005340576
